anchor_log10,K_compute,kernel,N,sigma_pred,sigma_eff,sigma_eff_hard,ratio_obs_over_hard,median_abs_err,mean_abs_err,ks_D_eff,ks_p_eff
8,4000,hamming,20,21.580721507988248,24.06349389772479,16.711497798762995,1.43993639513904,20.40252155251801,20.177371354028583,0.13685287621909537,0.8195724828837274
8,4000,hann,20,21.580721507988248,24.930354850115908,16.711497798762995,1.4918085231092382,21.145822156220675,20.943162586027757,0.13629321037869846,0.8233812486642332
8,4000,hard,20,21.580721507988248,16.711497798762995,16.711497798762995,1.0,11.854564607143402,13.387174109416083,0.08443459005440207,0.9980847626190819
8,4000,riesz,20,21.580721507988248,21.294018535055297,16.711497798762995,1.274213645687193,18.30491653829813,17.662746014539152,0.1498898452714681,0.7245063713137407
8,4000,riesz4,20,21.580721507988248,24.037078455280245,16.711497798762995,1.4383557203986526,20.049175499007106,20.1514886343386,0.14445067335606132,0.7654057056984049
8,4000,triangle,20,21.580721507988248,25.409237602543797,16.711497798762995,1.5204644077100389,20.66727631725371,21.250089999241755,0.12371522356505649,0.9000151058306732
8,4000,tukey25,20,21.580721507988248,18.54263526732539,16.711497798762995,1.109573509844099,16.077348986640573,15.761266662459821,0.14342855096684504,0.7729247866318806
8,4000,tukey50,20,21.580721507988248,20.14525357912361,16.711497798762995,1.2054726525239878,13.391026306897402,16.982733827270568,0.13169962050903306,0.8534857744760667
9,500,cosine,20,129.06067096284153,107.27364835964245,109.81193108300602,0.9768851827089272,71.6038576066494,86.895108358562,0.1576518991603204,0.6645340524123786
9,500,hamming,20,129.06067096284153,112.11943847409069,109.81193108300602,1.0210132666671752,74.74023494124413,87.67425863184035,0.11414579345939208,0.9440277215937458
9,500,hann,20,129.06067096284153,113.7198548395447,109.81193108300602,1.0355874240439749,75.5968087464571,88.15658384598791,0.12875610541903693,0.8715677561130688
9,500,hard,20,129.06067096284153,109.81193108300602,109.81193108300602,1.0,73.54607667773962,87.96228135190904,0.11523767151605535,0.9397126892907687
9,500,riesz,20,129.06067096284153,106.42572913150032,109.81193108300602,0.9691636244066586,74.2948799431324,86.93573804460466,0.17055423772435252,0.5647668573502567
9,500,riesz4,20,129.06067096284153,111.55982802771427,109.81193108300602,1.0159171861151137,73.349180534482,87.05273485332728,0.14081818704775823,0.7918272721338792
9,500,triangle,20,129.06067096284153,114.7872753050925,109.81193108300602,1.0453078656664883,81.11957556009293,90.59234486855567,0.10692202553350352,0.9678733741264951
9,500,tukey25,20,129.06067096284153,107.14209246422543,109.81193108300602,0.9756871717631258,84.0343724116683,87.94756925441325,0.11641743083890668,0.9348411370739044
9,500,tukey50,20,129.06067096284153,106.76055720903653,109.81193108300602,0.9722127291281039,84.30702802538872,90.15832542665302,0.20626599300345186,0.32470044844742907
