log10_x_anchor,x,pi_x,K,abs_err
5.0,131845,12314,500,0.500684
5.0,131845,12314,750,0.075742
5.0,131845,12314,1000,0.402126
5.0,131845,12314,1500,0.123663
5.0,131845,12314,2000,0.121975
5.0,131845,12314,2500,0.215723
5.0,131845,12314,3000,0.075995
5.0,131845,12314,3500,0.132395
5.0,131845,12314,4000,0.214631
5.0,131845,12314,4500,0.224724
5.0,131845,12314,5000,0.325578
5.0,131845,12314,6000,0.306297
5.0,131845,12314,7000,0.262657
5.0,131845,12314,8000,0.161662
5.0,131845,12314,9000,0.263334
5.0,131845,12314,10000,0.319041
5.0,131845,12314,11000,0.470530
5.0,131845,12314,12000,0.661734
5.0,131845,12314,13000,0.612030
5.0,131845,12314,14000,0.412376
5.0,131845,12314,15000,0.466870
5.0,131845,12314,16000,0.287411
5.0,131845,12314,17000,0.184518
5.0,131845,12314,18000,0.134413
5.0,131845,12314,19000,0.175801
5.0,131845,12314,20000,0.213880
5.0,133075,12420,250,0.072018
5.0,133075,12420,500,1.225760
5.0,133075,12420,750,0.106212
5.0,133075,12420,1000,0.130734
5.0,133075,12420,1500,0.734717
5.0,133075,12420,2000,0.234771
5.0,133075,12420,2500,0.053041
5.0,133075,12420,3000,0.126335
5.0,133075,12420,3500,0.218368
5.0,133075,12420,4000,0.633663
5.0,133075,12420,4500,0.653143
5.0,133075,12420,5000,0.525126
5.0,133075,12420,6000,0.750925
5.0,133075,12420,7000,0.954989
5.0,133075,12420,8000,0.792502
5.0,133075,12420,9000,0.677469
5.0,133075,12420,10000,0.602292
5.0,133075,12420,11000,0.902196
5.0,133075,12420,12000,0.858407
5.0,133075,12420,13000,0.853617
5.0,133075,12420,14000,0.914129
5.0,133075,12420,15000,0.986662
5.0,133075,12420,16000,1.047486
5.0,133075,12420,17000,1.002224
5.0,133075,12420,18000,0.866151
5.0,133075,12420,19000,0.831160
5.0,133075,12420,20000,0.845840
5.0,133506,12458,250,1.151510
5.0,133506,12458,500,1.264850
5.0,133506,12458,750,0.144583
5.0,133506,12458,1000,0.522237
5.0,133506,12458,1500,0.668271
5.0,133506,12458,2000,0.615436
5.0,133506,12458,2500,0.395432
5.0,133506,12458,3000,0.356833
5.0,133506,12458,3500,0.667990
5.0,133506,12458,4000,0.437711
5.0,133506,12458,4500,0.281900
5.0,133506,12458,5000,0.461414
5.0,133506,12458,6000,0.803763
5.0,133506,12458,7000,0.673903
