log10_x_anchor,x,pi_x,K,abs_err
4.0,11203,1356,7250,0.221140
4.0,11203,1356,7500,0.131853
4.0,11203,1356,7750,0.128225
4.0,11203,1356,8000,0.105488
4.0,11789,1413,50,0.022613
4.0,11789,1413,100,0.485176
4.0,11789,1413,150,0.386727
4.0,11789,1413,200,0.297069
4.0,11789,1413,250,0.173809
4.0,11789,1413,300,0.411767
4.0,11789,1413,350,0.584859
4.0,11789,1413,400,1.033063
4.0,11789,1413,450,1.083263
4.0,11789,1413,500,1.268318
4.0,11789,1413,600,1.261984
4.0,11789,1413,700,1.309007
4.0,11789,1413,800,1.203615
4.0,11789,1413,900,1.228661
4.0,11789,1413,1000,1.036366
4.0,11789,1413,1250,0.849768
4.0,11789,1413,1500,0.637760
4.0,11789,1413,1750,0.765213
4.0,11789,1413,2000,0.694338
4.0,11789,1413,2250,0.584841
4.0,11789,1413,2500,0.433511
4.0,11789,1413,2750,0.451389
4.0,11789,1413,3000,0.351980
4.0,11789,1413,3250,0.245538
4.0,11789,1413,3500,0.293387
4.0,11789,1413,3750,0.342502
4.0,11789,1413,4000,0.282568
4.0,11789,1413,4250,0.329776
4.0,11789,1413,4500,0.350819
4.0,11789,1413,4750,0.433124
4.0,11789,1413,5000,0.307296
4.0,11789,1413,5250,0.328473
4.0,11789,1413,5500,0.382846
4.0,11789,1413,5750,0.431231
4.0,11789,1413,6000,0.439931
4.0,11789,1413,6250,0.448727
4.0,11789,1413,6500,0.377247
4.0,11789,1413,6750,0.368433
4.0,11789,1413,7000,0.428065
4.0,11789,1413,7250,0.422071
4.0,11789,1413,7500,0.435386
4.0,11789,1413,7750,0.467946
4.0,11789,1413,8000,0.466236
4.0,12052,1444,50,0.637518
4.0,12052,1444,100,0.677316
4.0,12052,1444,150,0.787304
4.0,12052,1444,200,0.773959
4.0,12052,1444,250,1.011321
4.0,12052,1444,300,1.278654
4.0,12052,1444,350,1.433181
4.0,12052,1444,400,1.197999
4.0,12052,1444,450,0.940107
4.0,12052,1444,500,1.057611
4.0,12052,1444,600,1.021514
4.0,12052,1444,700,0.876425
4.0,12052,1444,800,0.788600
4.0,12052,1444,900,0.670252
4.0,12052,1444,1000,0.486249
4.0,12052,1444,1250,0.712583
4.0,12052,1444,1500,0.695024
4.0,12052,1444,1750,0.456279
4.0,12052,1444,2000,0.201029
4.0,12052,1444,2250,0.053120
4.0,12052,1444,2500,0.013055
4.0,12052,1444,2750,0.064294
4.0,12052,1444,3000,0.049567
4.0,12052,1444,3250,0.018978
4.0,12052,1444,3500,0.070269
4.0,12052,1444,3750,0.124682
4.0,12052,1444,4000,0.008243
4.0,12052,1444,4250,0.014699
4.0,12052,1444,4500,0.006683
4.0,12052,1444,4750,0.052448
4.0,12052,1444,5000,0.141434
4.0,12052,1444,5250,0.107461
4.0,12052,1444,5500,0.152483
4.0,12052,1444,5750,0.063459
4.0,12052,1444,6000,0.079380
4.0,12052,1444,6250,0.045785
4.0,12052,1444,6500,0.005679
4.0,12052,1444,6750,0.013654
4.0,12052,1444,7000,0.015897
4.0,12052,1444,7250,0.000081
4.0,12052,1444,7500,0.070446
4.0,12052,1444,7750,0.085930
4.0,12052,1444,8000,0.030694
4.0,12121,1452,50,1.446002
4.0,12121,1452,100,1.730871
4.0,12121,1452,150,1.718067
4.0,12121,1452,200,1.576552
4.0,12121,1452,250,1.478003
4.0,12121,1452,300,1.216201
4.0,12121,1452,350,0.992065
4.0,12121,1452,400,1.396520
4.0,12121,1452,450,1.630982
4.0,12121,1452,500,1.389637
4.0,12121,1452,600,1.567095
4.0,12121,1452,700,1.312580
4.0,12121,1452,800,1.227857
4.0,12121,1452,900,1.038967
4.0,12121,1452,1000,0.871789
4.0,12121,1452,1250,0.490020
4.0,12121,1452,1500,0.284043
4.0,12121,1452,1750,0.094556
4.0,12121,1452,2000,0.039312
4.0,12121,1452,2250,0.172472
4.0,12121,1452,2500,0.147330
4.0,12121,1452,2750,0.123074
4.0,12121,1452,3000,0.117297
4.0,12121,1452,3250,0.018145
4.0,12121,1452,3500,0.098357
4.0,12121,1452,3750,0.118059
4.0,12121,1452,4000,0.203673
4.0,12121,1452,4250,0.228992
4.0,12121,1452,4500,0.210376
4.0,12121,1452,4750,0.104073
4.0,12121,1452,5000,0.159087
4.0,12121,1452,5250,0.115531
4.0,12121,1452,5500,0.135801
4.0,12121,1452,5750,0.231257
4.0,12121,1452,6000,0.182475
4.0,12121,1452,6250,0.193479
4.0,12121,1452,6500,0.128684
4.0,12121,1452,6750,0.120077
4.0,12121,1452,7000,0.099515
4.0,12121,1452,7250,0.115876
4.0,12121,1452,7500,0.054276
4.0,12121,1452,7750,0.087305
4.0,12121,1452,8000,0.032265
4.0,12308,1471,50,1.063112
4.0,12308,1471,100,0.613486
4.0,12308,1471,150,0.752372
4.0,12308,1471,200,0.573893
4.0,12308,1471,250,0.366646
4.0,12308,1471,300,0.260105
4.0,12308,1471,350,0.271583
4.0,12308,1471,400,0.177100
4.0,12308,1471,450,0.002737
4.0,12308,1471,500,0.114364
4.0,12308,1471,600,0.056276
4.0,12308,1471,700,0.143926
4.0,12308,1471,800,0.093433
4.0,12308,1471,900,0.011333
4.0,12308,1471,1000,0.194714
4.0,12308,1471,1250,0.083124
4.0,12308,1471,1500,0.169810
4.0,12308,1471,1750,0.102549
4.0,12308,1471,2000,0.116808
4.0,12308,1471,2250,0.208459
4.0,12308,1471,2500,0.131394
4.0,12308,1471,2750,0.004022
4.0,12308,1471,3000,0.043946
4.0,12308,1471,3250,0.107171
4.0,12308,1471,3500,0.116837
