log10_x_anchor,x,pi_x,K,abs_err
4.0,12704,1517,4000,0.343294
4.0,12704,1517,5000,0.339313
4.0,12704,1517,6000,0.219975
4.0,12704,1517,7000,0.271183
4.0,12704,1517,8000,0.131582
4.0,12898,1534,1,0.284212
4.0,12898,1534,2,0.607076
4.0,12898,1534,5,2.467309
4.0,12898,1534,10,2.383461
4.0,12898,1534,20,2.519714
4.0,12898,1534,50,2.457828
4.0,12898,1534,100,1.624585
4.0,12898,1534,200,1.306275
4.0,12898,1534,300,0.907436
4.0,12898,1534,500,0.629713
4.0,12898,1534,700,0.331098
4.0,12898,1534,1000,0.114929
4.0,12898,1534,1500,0.133507
4.0,12898,1534,2000,0.070673
4.0,12898,1534,3000,0.325581
4.0,12898,1534,4000,0.396790
4.0,12898,1534,5000,0.429483
4.0,12898,1534,6000,0.458909
4.0,12898,1534,7000,0.450227
4.0,12898,1534,8000,0.410212
4.0,12933,1540,1,2.588499
4.0,12933,1540,2,1.665738
4.0,12933,1540,5,0.238716
4.0,12933,1540,10,0.212448
4.0,12933,1540,20,0.221990
4.0,12933,1540,50,0.232640
4.0,12933,1540,100,0.222099
4.0,12933,1540,200,0.594939
4.0,12933,1540,300,0.955030
4.0,12933,1540,500,0.573422
4.0,12933,1540,700,0.024053
4.0,12933,1540,1000,0.128109
4.0,12933,1540,1500,0.183363
4.0,12933,1540,2000,0.280855
4.0,12933,1540,3000,0.206486
4.0,12933,1540,4000,0.027598
4.0,12933,1540,5000,0.092468
4.0,12933,1540,6000,0.077688
4.0,12933,1540,7000,0.058515
4.0,12933,1540,8000,0.095682
4.0,13155,1564,1,3.117270
4.0,13155,1564,2,2.073532
4.0,13155,1564,5,0.179490
4.0,13155,1564,10,0.219140
4.0,13155,1564,20,0.343810
4.0,13155,1564,50,0.497836
4.0,13155,1564,100,0.444769
4.0,13155,1564,200,0.176461
4.0,13155,1564,300,0.493809
4.0,13155,1564,500,0.606243
4.0,13155,1564,700,0.473267
4.0,13155,1564,1000,0.062274
4.0,13155,1564,1500,0.176259
4.0,13155,1564,2000,0.027879
4.0,13155,1564,3000,0.054899
4.0,13155,1564,4000,0.023509
4.0,13155,1564,5000,0.087941
4.0,13155,1564,6000,0.053855
4.0,13155,1564,7000,0.005166
4.0,13155,1564,8000,0.066841
4.0,13317,1581,1,2.962141
4.0,13317,1581,2,1.918740
4.0,13317,1581,5,0.332866
4.0,13317,1581,10,0.361492
4.0,13317,1581,20,0.203428
4.0,13317,1581,50,0.004537
4.0,13317,1581,100,0.188241
4.0,13317,1581,200,0.101021
4.0,13317,1581,300,0.189741
4.0,13317,1581,500,0.189850
4.0,13317,1581,700,0.203695
4.0,13317,1581,1000,0.265622
4.0,13317,1581,1500,0.374709
4.0,13317,1581,2000,0.440270
4.0,13317,1581,3000,0.293261
4.0,13317,1581,4000,0.091355
4.0,13317,1581,5000,0.063828
4.0,13317,1581,6000,0.097555
4.0,13317,1581,7000,0.176526
4.0,13317,1581,8000,0.208090
