anchor_log10,x,h,max_p_h,S_inf,pi_h,li2_x,sqrt_x,sigma_pred_pois,S_30,r_30,S_50,r_50,S_100,r_100,S_200,r_200,S_500,r_500,S_1000,r_1000,S_2000,r_2000,S_5000,r_5000,r_inf
9,1539926526,38,19,1.397990,5345982,3824055.842577,39241.897584,2312.139872,1.397990,-8.785981,1.397990,-8.785981,1.397990,-8.785981,1.397990,-8.785981,1.397990,-8.785981,1.397990,-8.785981,1.397990,-8.785981,1.397990,-8.785981,-8.785981
9,1539926526,42,7,3.168777,12117058,3824055.842577,39241.897584,3481.031329,3.168777,-521.114890,3.168777,-521.114890,3.168777,-521.114890,3.168777,-521.114890,3.168777,-521.114890,3.168777,-521.114890,3.168777,-521.114890,3.168777,-521.114890,-521.114890
9,1539926526,46,23,1.383196,5288905,3824055.842577,39241.897584,2299.873791,1.383196,-514.454912,1.383196,-514.454912,1.383196,-514.454912,1.383196,-514.454912,1.383196,-514.454912,1.383196,-514.454912,1.383196,-514.454912,1.383196,-514.454912,-514.454912
9,1539926526,58,29,1.369225,5236926,3824055.842577,39241.897584,2288.228786,1.369225,935.024430,1.369225,935.024430,1.369225,935.024430,1.369225,935.024430,1.369225,935.024430,1.369225,935.024430,1.369225,935.024430,1.369225,935.024430,935.024430
9,1539926526,62,31,1.365852,5220348,3824055.842577,39241.897584,2285.409033,1.320324,171356.702129,1.365852,-2746.446073,1.365852,-2746.446073,1.365852,-2746.446073,1.365852,-2746.446073,1.365852,-2746.446073,1.365852,-2746.446073,1.365852,-2746.446073,-2746.446073
9,1539926526,78,13,2.880706,11014786,3824055.842577,39241.897584,3319.033144,2.880706,-1195.013536,2.880706,-1195.013536,2.880706,-1195.013536,2.880706,-1195.013536,2.880706,-1195.013536,2.880706,-1195.013536,2.880706,-1195.013536,2.880706,-1195.013536,-1195.013536
9,1539926526,82,41,1.354178,5178767,3824055.842577,39241.897584,2275.621369,1.320324,129775.702129,1.354178,314.386799,1.354178,314.386799,1.354178,314.386799,1.354178,314.386799,1.354178,314.386799,1.354178,314.386799,1.354178,314.386799,314.386799
9,1539926526,106,53,1.346212,5147865,3824055.842577,39241.897584,2268.918493,1.320324,98873.702129,1.320324,98873.702129,1.346212,-126.127241,1.346212,-126.127241,1.346212,-126.127241,1.346212,-126.127241,1.346212,-126.127241,1.346212,-126.127241,-126.127241
9,1539926526,158,79,1.337471,5113170,3824055.842577,39241.897584,2261.539877,1.320324,64178.702129,1.320324,64178.702129,1.337471,-1392.613428,1.337471,-1392.613428,1.337471,-1392.613428,1.337471,-1392.613428,1.337471,-1392.613428,1.337471,-1392.613428,-1392.613428
9,1539926526,198,11,2.934053,11221731,3824055.842577,39241.897584,3349.623958,2.934053,1750.338065,2.934053,1750.338065,2.934053,1750.338065,2.934053,1750.338065,2.934053,1750.338065,2.934053,1750.338065,2.934053,1750.338065,2.934053,1750.338065,1750.338065
