anchor_log10,x,h,max_p_h,S_inf,pi_h,li2_x,sqrt_x,sigma_pred_pois,S_30,r_30,S_50,r_50,S_100,r_100,S_200,r_200,S_500,r_500,S_1000,r_1000,S_2000,r_2000,S_5000,r_5000,r_inf
7,11547820,1006,503,1.322959,66501,50403.470676,3398.208351,258.228050,1.320324,-47.893453,1.320324,-47.893453,1.320324,-47.893453,1.320324,-47.893453,1.320324,-47.893453,1.322959,-180.725576,1.322959,-180.725576,1.322959,-180.725576,-180.725576
7,11547820,1198,599,1.322535,66525,50403.470676,3398.208351,258.186688,1.320324,-23.893453,1.320324,-23.893453,1.320324,-23.893453,1.320324,-23.893453,1.320324,-23.893453,1.322535,-135.365636,1.322535,-135.365636,1.322535,-135.365636,-135.365636
7,11547820,2018,1009,1.321635,66484,50403.470676,3398.208351,258.098779,1.320324,-64.893453,1.320324,-64.893453,1.320324,-64.893453,1.320324,-64.893453,1.320324,-64.893453,1.320324,-64.893453,1.321635,-130.979742,1.321635,-130.979742,-130.979742
7,11547820,3030,101,3.556427,179133,50403.470676,3398.208351,423.386677,3.520863,1669.284125,3.520863,1669.284125,3.520863,1669.284125,3.556427,-123.278661,3.556427,-123.278661,3.556427,-123.278661,3.556427,-123.278661,3.556427,-123.278661,-123.278661
7,11547820,4006,2003,1.320983,66444,50403.470676,3398.208351,258.035174,1.320324,-104.893453,1.320324,-104.893453,1.320324,-104.893453,1.320324,-104.893453,1.320324,-104.893453,1.320324,-104.893453,1.320324,-104.893453,1.320983,-138.151271,-138.151271
7,13335214,2,0,1.320324,75514,57101.604803,3651.741229,274.577126,1.320324,121.401772,1.320324,121.401772,1.320324,121.401772,1.320324,121.401772,1.320324,121.401772,1.320324,121.401772,1.320324,121.401772,1.320324,121.401772,121.401772
7,13335214,6,3,2.640647,150109,57101.604803,3651.741229,388.310696,2.640647,-676.196457,2.640647,-676.196457,2.640647,-676.196457,2.640647,-676.196457,2.640647,-676.196457,2.640647,-676.196457,2.640647,-676.196457,2.640647,-676.196457,-676.196457
7,13335214,14,7,1.584388,90462,57101.604803,3651.741229,300.784172,1.584388,-9.117874,1.584388,-9.117874,1.584388,-9.117874,1.584388,-9.117874,1.584388,-9.117874,1.584388,-9.117874,1.584388,-9.117874,1.584388,-9.117874,-9.117874
7,13335214,22,11,1.467026,83692,57101.604803,3651.741229,289.429704,1.467026,-77.553587,1.467026,-77.553587,1.467026,-77.553587,1.467026,-77.553587,1.467026,-77.553587,1.467026,-77.553587,1.467026,-77.553587,1.467026,-77.553587,-77.553587
7,13335214,30,5,3.520863,200864,57101.604803,3651.741229,448.382569,3.520863,-182.928609,3.520863,-182.928609,3.520863,-182.928609,3.520863,-182.928609,3.520863,-182.928609,3.520863,-182.928609,3.520863,-182.928609,3.520863,-182.928609,-182.928609
7,13335214,38,19,1.397990,79741,57101.604803,3651.741229,282.537532,1.397990,-86.456948,1.397990,-86.456948,1.397990,-86.456948,1.397990,-86.456948,1.397990,-86.456948,1.397990,-86.456948,1.397990,-86.456948,1.397990,-86.456948,-86.456948
7,13335214,42,7,3.168777,180841,57101.604803,3651.741229,425.373055,3.168777,-101.235748,3.168777,-101.235748,3.168777,-101.235748,3.168777,-101.235748,3.168777,-101.235748,3.168777,-101.235748,3.168777,-101.235748,3.168777,-101.235748,-101.235748
7,13335214,46,23,1.383196,78865,57101.604803,3651.741229,281.038649,1.383196,-117.721954,1.383196,-117.721954,1.383196,-117.721954,1.383196,-117.721954,1.383196,-117.721954,1.383196,-117.721954,1.383196,-117.721954,1.383196,-117.721954,-117.721954
7,13335214,58,29,1.369225,77907,57101.604803,3651.741229,279.615659,1.369225,-277.916681,1.369225,-277.916681,1.369225,-277.916681,1.369225,-277.916681,1.369225,-277.916681,1.369225,-277.916681,1.369225,-277.916681,1.369225,-277.916681,-277.916681
7,13335214,62,31,1.365852,77904,57101.604803,3651.741229,279.271092,1.320324,2511.401772,1.365852,-88.342995,1.365852,-88.342995,1.365852,-88.342995,1.365852,-88.342995,1.365852,-88.342995,1.365852,-88.342995,1.365852,-88.342995,-88.342995
7,13335214,78,13,2.880706,164254,57101.604803,3651.741229,405.577294,2.880706,-238.941589,2.880706,-238.941589,2.880706,-238.941589,2.880706,-238.941589,2.880706,-238.941589,2.880706,-238.941589,2.880706,-238.941589,2.880706,-238.941589,-238.941589
7,13335214,82,41,1.354178,77124,57101.604803,3651.741229,278.075065,1.320324,1731.401772,1.354178,-201.741773,1.354178,-201.741773,1.354178,-201.741773,1.354178,-201.741773,1.354178,-201.741773,1.354178,-201.741773,1.354178,-201.741773,-201.741773
7,13335214,106,53,1.346212,76829,57101.604803,3651.741229,277.255991,1.320324,1436.401772,1.320324,1436.401772,1.346212,-41.884468,1.346212,-41.884468,1.346212,-41.884468,1.346212,-41.884468,1.346212,-41.884468,1.346212,-41.884468,-41.884468
7,13335214,158,79,1.337471,76433,57101.604803,3651.741229,276.354343,1.320324,1040.401772,1.320324,1040.401772,1.337471,61.277119,1.337471,61.277119,1.337471,61.277119,1.337471,61.277119,1.337471,61.277119,1.337471,61.277119,61.277119
7,13335214,198,11,2.934053,167628,57101.604803,3651.741229,409.315413,2.934053,88.892826,2.934053,88.892826,2.934053,88.892826,2.934053,88.892826,2.934053,88.892826,2.934053,88.892826,2.934053,88.892826,2.934053,88.892826,88.892826
7,13335214,218,109,1.332663,75735,57101.604803,3651.741229,275.857213,1.320324,342.401772,1.320324,342.401772,1.320324,342.401772,1.332663,-362.201950,1.332663,-362.201950,1.332663,-362.201950,1.332663,-362.201950,1.332663,-362.201950,-362.201950
7,13335214,302,151,1.329185,75934,57101.604803,3651.741229,275.496985,1.320324,541.401772,1.320324,541.401772,1.320324,541.401772,1.329185,35.411179,1.329185,35.411179,1.329185,35.411179,1.329185,35.411179,1.329185,35.411179,35.411179
7,13335214,398,199,1.327026,75616,57101.604803,3651.741229,275.273140,1.320324,223.401772,1.320324,223.401772,1.320324,223.401772,1.327026,-159.301773,1.327026,-159.301773,1.327026,-159.301773,1.327026,-159.301773,1.327026,-159.301773,-159.301773
7,13335214,502,251,1.325626,75756,57101.604803,3651.741229,275.127933,1.320324,363.401772,1.320324,363.401772,1.320324,363.401772,1.320324,363.401772,1.325626,60.620253,1.325626,60.620253,1.325626,60.620253,1.325626,60.620253,60.620253
7,13335214,606,101,2.667320,151991,57101.604803,3651.741229,390.266933,2.640647,1205.803543,2.640647,1205.803543,2.640647,1205.803543,2.667320,-317.279249,2.667320,-317.279249,2.667320,-317.279249,2.667320,-317.279249,2.667320,-317.279249,-317.279249
7,13335214,802,401,1.323633,75644,57101.604803,3651.741229,274.920992,1.320324,251.401772,1.320324,251.401772,1.320324,251.401772,1.320324,251.401772,1.323633,62.447891,1.323633,62.447891,1.323633,62.447891,1.323633,62.447891,62.447891
7,13335214,1006,503,1.322959,75444,57101.604803,3651.741229,274.851019,1.320324,51.401772,1.320324,51.401772,1.320324,51.401772,1.320324,51.401772,1.320324,51.401772,1.322959,-99.082456,1.322959,-99.082456,1.322959,-99.082456,-99.082456
7,13335214,1198,599,1.322535,75277,57101.604803,3651.741229,274.806994,1.320324,-115.598228,1.320324,-115.598228,1.320324,-115.598228,1.320324,-115.598228,1.320324,-115.598228,1.322535,-241.883988,1.322535,-241.883988,1.322535,-241.883988,-241.883988
7,13335214,2018,1009,1.321635,75325,57101.604803,3651.741229,274.713427,1.320324,-67.598228,1.320324,-67.598228,1.320324,-67.598228,1.320324,-67.598228,1.320324,-67.598228,1.320324,-67.598228,1.321635,-142.466747,1.321635,-142.466747,-142.466747
