h,x,K,abs_err
0.0,180472.17668271702,5,9.589216566602772
0.0,180472.17668271702,10,8.693996915500975
0.0,180472.17668271702,25,8.942455823007549
0.0,180472.17668271702,50,8.645964927320165
0.0,180472.17668271702,100,6.492776609153225
0.0,180472.17668271702,133,5.242269466072685
0.0,180472.17668271702,150,5.739536688559383
0.0,180472.17668271702,200,1.65429109159777
0.0,180472.17668271702,250,1.2476300377948064
0.0,180472.17668271702,300,1.5503554863171303
0.0,180472.17668271702,1526,1.044652341866822
0.0,180472.17668271702,2000,1.1628104490227997
0.0,185879.18911465636,1,6.277291833655909
0.0,185879.18911465636,5,3.1868941030625138
0.0,185879.18911465636,10,0.4686985306798306
0.0,185879.18911465636,25,2.613426452058775
0.0,185879.18911465636,50,2.5942836098111
0.0,185879.18911465636,100,0.15242130394108244
0.0,185879.18911465636,133,0.7978261656608083
0.0,185879.18911465636,150,0.5544526636876981
0.0,185879.18911465636,200,0.5159089335575118
0.0,185879.18911465636,250,0.7872228771630034
0.0,185879.18911465636,300,0.49818039980891626
0.0,185879.18911465636,1526,0.048037543459940935
0.0,185879.18911465636,2000,0.1283205678446393
0.0,191448.19761699575,1,0.5495423753491195
0.0,191448.19761699575,5,6.193019376474695
0.0,191448.19761699575,10,7.188734450184711
0.0,191448.19761699575,25,8.843852352329122
0.0,191448.19761699575,50,8.420423168510752
0.0,191448.19761699575,100,6.84024786117152
0.0,191448.19761699575,133,5.936388704019919
0.0,191448.19761699575,150,6.151497530172492
0.0,191448.19761699575,200,4.816249788018467
0.0,191448.19761699575,250,4.363516922967392
0.0,191448.19761699575,300,4.407734826050728
0.0,191448.19761699575,1526,3.24568852275479
0.0,191448.19761699575,2000,3.2272449486263213
0.0,197184.05565126418,1,1.3449226026568795
0.0,197184.05565126418,5,3.4066318803306785
0.0,197184.05565126418,10,1.8977335588933784
0.0,197184.05565126418,25,3.4072508758217737
0.0,197184.05565126418,50,4.179265469865641
0.0,197184.05565126418,100,2.8653090967163735
0.0,197184.05565126418,133,2.91640114699112
0.0,197184.05565126418,150,2.2348203850051505
0.0,197184.05565126418,200,1.9765779700646817
0.0,197184.05565126418,250,1.987370353686856
0.0,197184.05565126418,300,1.7304418792118668
0.0,197184.05565126418,1526,0.488235661687213
0.0,197184.05565126418,2000,0.0017214750223502051
0.0,203091.76209047346,1,2.1157633156108204
0.0,203091.76209047346,5,3.7365919896001287
0.0,203091.76209047346,10,2.003513634641422
0.0,203091.76209047346,25,1.4090503199695377
0.0,203091.76209047346,50,2.6242716281449248
0.0,203091.76209047346,100,1.6876841539233283
0.0,203091.76209047346,133,1.578730968205491
0.0,203091.76209047346,150,0.6006971355782298
0.0,203091.76209047346,200,0.13310125005955342
0.0,203091.76209047346,250,0.5701209572907828
0.0,203091.76209047346,300,0.6399143594644556
0.0,203091.76209047346,1526,1.0735918540922285
0.0,203091.76209047346,2000,1.3750945345127548
0.0,209176.4655756995,1,3.938517990143737
0.0,209176.4655756995,5,2.7035834070047713
0.0,209176.4655756995,10,2.6791257086188125
0.0,209176.4655756995,25,4.948219303685619
0.0,209176.4655756995,50,7.045914686917968
0.0,209176.4655756995,100,6.971833586874709
0.0,209176.4655756995,133,7.387986849265872
0.0,209176.4655756995,150,6.379110178702831
0.0,209176.4655756995,200,5.3936385820452415
0.0,209176.4655756995,250,5.623392670713656
0.0,209176.4655756995,300,5.601222723056708
0.0,209176.4655756995,1526,2.240567720920808
0.0,209176.4655756995,2000,1.9771137807765626
0.0,215443.46900318822,1,1.1201338633509295
0.0,215443.46900318822,5,1.0432106216539978
0.0,215443.46900318822,10,0.1266488544533786
0.0,215443.46900318822,25,1.4615786786707758
0.0,215443.46900318822,50,1.592859993546881
0.0,215443.46900318822,100,2.446388381831639
0.0,215443.46900318822,133,0.8276188829659077
0.0,215443.46900318822,150,0.09362415330178919
